x	y
78.125549	221.38684
138.42018	188.96599
142.18663	177.39235
248.9549	7361.1265
250.96675	898.24945
264.03436	158.94878
265.97168	1788.5905
295.95059	305.8316
362.97577	219.10104
363.98148	2721.3655
367.04468	158.68762
389.1944	185.42535
397.04153	211.98701
400.57297	169.01201
411.8725	163.29538
412.15497	179.43184
433.51413	179.23041
478.96936	165.26114
482.05997	308.2485
509.04486	184.38567
522.00519	331.48553
531.05316	209.0919
533.30243	331.67917
547.5542	166.60739
573.72156	173.29149
580.03772	2357.7463
581.99329	453.00317
583.95746	235.25842
584.21021	177.28305
593.96735	233.93199
610.08606	278.65884
612.31696	189.16209
619.94019	177.13823
625.13403	208.75444
626.24323	398.0423
629.17804	268.43481
632.93353	252.67569
633.90387	747.52106
634.10327	394.5228
635.93463	204.61406
638.45337	239.24051
642.01013	239.21251
642.24835	186.22739
646.0694	267.49149
651.16235	235.95189
651.8457	189.15355
653.15637	4119.2964
655.16528	888.63977
661.65985	170.43503
662.02374	273.60495
667.02789	221.16023
672.92401	273.90045
678.09009	250.72861
690.995	230.24312
705.99219	414.19269
711.34399	352.0209
716.04718	199.36516
723.05103	319.3783
724.04059	218.35031
728.9198	177.11633
731.15942	452.90744
732.00311	270.62619
733.35242	176.61804
734.2536	167.41109
735.23193	173.70824
736.18237	1065.5881
756.48608	162.2437
759.16864	3030.3276
761.1712	410.38983
762.07233	508.77039
764.27997	258.21475
774.89453	206.25374
785.35419	189.90784
788.14154	304.73895
788.53772	174.14749
791.22754	506.62265
798.87531	179.72401
805.33051	252.64941
808.29047	221.80742
814.6864	302.2543
816.29797	293.25327
819.20544	265.47208
819.70148	161.99109
821.55017	197.07265
823.31158	210.50447
826.08319	222.20448
831.94379	164.35403
834.05469	203.78192
838.15417	190.6324
839.49701	207.74532
841.12103	178.50673
842.6842	166.65594
843.16711	158.3947
845.03638	170.56487
849.25146	1082.4252
855.07672	479.19382
856.97516	268.10699
858.1355	344.81573
860.05762	283.93115
861.17865	506.8302
863.15784	394.00879
864.08057	297.58496
865.81903	185.20097
866.21313	613.17316
866.60645	176.51375
868.12457	207.89964
868.6969	256.27328
871.10052	465.46725
873.00677	276.78943
874.04266	197.86835
874.64264	202.19324
875.04987	253.36958
876.57776	298.55539
877.94086	418.63849
878.89832	285.16003
881.22998	322.18396
883.06335	320.82074
883.98871	345.87024
885.15308	172.24739
888.34662	178.76547
891.31915	223.28716
893.0824	171.04395
895.82306	264.2518
898.1217	165.88341
901.03271	187.8998
901.57715	201.91541
910.04187	525.48633
914.14026	198.34473
919.18304	266.87067
925.62891	253.80925
926.4129	208.46115
927.06042	430.22067
928.46332	235.19942
934.2652	283.68759
937.29468	279.34558
944.02521	198.76413
944.72089	235.84938
947.85767	249.00197
950.14569	270.20871
953.18152	200.23755
961.63898	266.35736
963.23138	418.13757
965.03717	332.8172
965.37408	305.01572
968.25995	436.93774
969.16193	169.94218
970.27246	290.0202
975.05072	359.01733
979.93842	407.21613
981.26105	193.11838
984.51404	185.78572
985.28357	413.11603
991.31183	263.77539
995.08105	715.31732
1000.2544	541.20953
1000.8737	182.39482
1003.2113	750.07715
1008.1769	448.91904
1010.1664	288.63464
1013.9728	342.73544
1016.0578	400.35507
1016.954	443.63245
1018.1362	245.83812
1019.7705	198.39288
1021.079	309.95197
1021.4432	296.1608
1021.7446	316.26169
1022.5175	190.02472
1025.0094	405.28497
1027.224	309.24744
1029.2915	194.38974
1030.1454	286.31137
1031.7478	202.66898
1033.4678	280.7128
1034.3325	628.67981
1036.1042	717.0155
1038.2493	203.8006
1038.4762	203.7328
1041.4586	264.49484
1041.9291	719.18927
1042.798	231.77954
1044.3389	198.96419
1045.0684	547.64386
1045.7256	250.13861
1046.1418	414.17093
1048.0406	255.22664
1049.1621	566.38629
1049.6174	175.71024
1050.0425	1139.208
1052.0839	445.94644
1053.0051	445.18271
1053.8669	209.39526
1054.4415	346.76215
1055.0852	579.65576
1056.9532	319.65891
1057.995	266.65247
1058.4901	215.48772
1058.8599	722.57697
1059.9271	2146.0161
1060.847	1853.5065
1061.8313	912.72528
1062.7424	1594.9498
1064.8225	1621.8301
1065.8419	1472.0299
1066.7413	1784.6844
1069.1464	472.89261
1070.0867	240.19238
1070.4568	230.54553
1071.2821	429.91208
1071.7614	279.08145
1078.3022	277.19019
1078.9792	257.97958
1081.127	272.16428
1083.1953	315.35861
1084.412	240.26607
1087.64	201.58255
1088.045	243.49574
1088.5149	224.10249
1090.3018	356.43982
1091.0951	293.89575
1092.2141	409.7283
1097.3186	423.89996
1099.2053	952.69116
1101.58	249.35147
1103.0865	274.47394
1105.26	332.24432
1106.0815	226.50497
1110.3319	384.50986
1111.1979	802.54443
1114.0958	273.45605
1117.879	236.32047
1120.3344	207.54413
1123.1001	487.03668
1123.7877	304.96124
1125.0165	300.63742
1125.4894	294.83875
1125.8422	229.00647
1127.6997	268.15216
1128.2856	535.77936
1128.8557	410.27618
1129.1647	305.95947
1129.4181	376.80124
1130.1753	973.52826
1131.7354	384.92392
1135.4054	361.60504
1136.3506	276.62558
1137.3026	301.03793
1137.823	271.54977
1139.4744	252.87509
1140.3285	403.60361
1142.0028	326.34045
1143.0276	254.42464
1146.4187	255.91644
1148.2504	837.909
1150.7511	251.24545
1151.2632	220.24382
1152.9485	338.05457
1153.4719	247.97185
1154.4709	230.36658
1155.0237	277.83984
1158.1232	426.41394
1159.0208	331.03223
1161.1173	241.10992
1163.3721	583.25427
1164.2289	234.88597
1165.9452	219.79057
1167.564	368.43454
1170.3101	386.61395
1171.286	284.18134
1173.4669	326.41483
1177.2321	272.47476
1181.0486	308.67368
1185.6764	226.05905
1189.0009	398.0437
1191.1378	391.8064
1191.7588	499.49884
1192.1559	420.14734
1193.0729	399.12585
1194.2413	323.32645
1195.0032	376.71317
1196.7477	258.10837
1198.2923	211.09937
1200.0892	304.29373
1203.9329	207.83922
1207.4098	273.7308
1210.3159	203.81656
1210.8354	286.72586
1212.9441	263.4071
1213.4575	513.38019
1214.452	480.92709
1214.6901	434.53854
1215.2269	331.10309
1215.9038	752.41119
1216.6465	563.21118
1217.1155	301.37506
1217.5408	397.74933
1218.6963	455.07858
1220.333	214.10669
1221.7952	456.41287
1222.6515	377.79037